rank,name,n_lead_trials,n_any_trials,roles,normalized_pattern,suggested_rule_type,parsed_parent,draft_rule_line,rules_sha256,cohort_extracted_at
43,Repros Therapeutics Inc.,34,34,lead,repros therapeutics,exact_normalized,,"<canonical>,exact_normalized,""repros therapeutics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
44,Swedish Orphan Biovitrum,34,44,"collaborator,lead",swedish orphan biovitrum,exact_normalized,,"<canonical>,exact_normalized,""swedish orphan biovitrum"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
45,Materia Medica Holding,33,33,lead,materia medica holding,exact_normalized,,"<canonical>,exact_normalized,""materia medica holding"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
46,"ModernaTX, Inc.",33,39,"collaborator,lead",modernatx,exact_normalized,,"<canonical>,exact_normalized,""modernatx"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
47,PTC Therapeutics,33,35,"collaborator,lead",ptc therapeutics,exact_normalized,,"<canonical>,exact_normalized,""ptc therapeutics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
48,"Pearl Therapeutics, Inc.",33,33,lead,pearl therapeutics,exact_normalized,,"<canonical>,exact_normalized,""pearl therapeutics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
49,Seqirus,33,35,"collaborator,lead",seqirus,exact_normalized,,"<canonical>,exact_normalized,""seqirus"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
50,Stryker Orthopaedics,33,39,"collaborator,lead",stryker orthopaedics,exact_normalized,,"<canonical>,exact_normalized,""stryker orthopaedics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
51,Zeltiq Aesthetics,33,33,lead,zeltiq aesthetics,exact_normalized,,"<canonical>,exact_normalized,""zeltiq aesthetics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
52,"Cynosure, Inc.",32,32,lead,cynosure,exact_normalized,,"<canonical>,exact_normalized,""cynosure"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
53,Guerbet,32,37,"collaborator,lead",guerbet,exact_normalized,,"<canonical>,exact_normalized,""guerbet"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
54,Laboratorios Sophia S.A de C.V.,32,32,lead,laboratorios sophia s a de c v,exact_normalized,,"<canonical>,exact_normalized,""laboratorios sophia s a de c v"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
55,Lexicon Pharmaceuticals,32,33,"collaborator,lead",lexicon pharmaceuticals,exact_normalized,,"<canonical>,exact_normalized,""lexicon pharmaceuticals"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
56,Philip Morris Products S.A.,32,33,"collaborator,lead",philip morris products s a,exact_normalized,,"<canonical>,exact_normalized,""philip morris products s a"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
57,Seagen Inc.,32,59,"collaborator,lead",seagen,exact_normalized,,"<canonical>,exact_normalized,""seagen"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
58,Sonova AG,32,32,lead,sonova,exact_normalized,,"<canonical>,exact_normalized,""sonova"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
59,Actavis Inc.,31,34,"collaborator,lead",actavis,exact_normalized,,"<canonical>,exact_normalized,""actavis"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
60,Celltrion,31,31,lead,celltrion,exact_normalized,,"<canonical>,exact_normalized,""celltrion"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
61,Ethicon Endo-Surgery,31,35,"collaborator,lead",ethicon endo-surgery,exact_normalized,,"<canonical>,exact_normalized,""ethicon endo-surgery"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
62,Medtronic Endovascular,31,31,lead,medtronic endovascular,exact_normalized,,"<canonical>,exact_normalized,""medtronic endovascular"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
63,Pharmacyclics LLC.,31,63,"collaborator,lead",pharmacyclics,exact_normalized,,"<canonical>,exact_normalized,""pharmacyclics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
64,Warner Chilcott,31,31,lead,warner chilcott,exact_normalized,,"<canonical>,exact_normalized,""warner chilcott"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
65,Abbott Medical Optics,30,34,"collaborator,lead",abbott medical optics,exact_normalized,,"<canonical>,exact_normalized,""abbott medical optics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
66,"Ethicon, Inc.",30,39,"collaborator,lead",ethicon,exact_normalized,,"<canonical>,exact_normalized,""ethicon"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
67,Vanda Pharmaceuticals,30,32,"collaborator,lead",vanda pharmaceuticals,exact_normalized,,"<canonical>,exact_normalized,""vanda pharmaceuticals"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
68,ACADIA Pharmaceuticals Inc.,29,29,lead,acadia pharmaceuticals,exact_normalized,,"<canonical>,exact_normalized,""acadia pharmaceuticals"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
69,Cephalon,29,63,"collaborator,lead",cephalon,exact_normalized,,"<canonical>,exact_normalized,""cephalon"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
70,Colgate Palmolive,29,35,"collaborator,lead",colgate palmolive,exact_normalized,,"<canonical>,exact_normalized,""colgate palmolive"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
71,Fisher and Paykel Healthcare,29,35,"collaborator,lead",fisher and paykel healthcare,exact_normalized,,"<canonical>,exact_normalized,""fisher and paykel healthcare"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
72,PharmaMar,29,42,"collaborator,lead",pharmamar,exact_normalized,,"<canonical>,exact_normalized,""pharmamar"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
73,UCB Biopharma S.P.R.L.,29,29,lead,ucb biopharma s p r l,exact_normalized,,"<canonical>,exact_normalized,""ucb biopharma s p r l"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
74,"Aclaris Therapeutics, Inc.",28,28,lead,aclaris therapeutics,exact_normalized,,"<canonical>,exact_normalized,""aclaris therapeutics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
75,"Aldeyra Therapeutics, Inc.",28,28,lead,aldeyra therapeutics,exact_normalized,,"<canonical>,exact_normalized,""aldeyra therapeutics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
76,BioNTech SE,28,32,"collaborator,lead",biontech se,exact_normalized,,"<canonical>,exact_normalized,""biontech se"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
77,Grünenthal GmbH,28,45,"collaborator,lead",grünenthal,exact_normalized,,"<canonical>,exact_normalized,""grünenthal"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
78,Indivior Inc.,28,29,"collaborator,lead",indivior,exact_normalized,,"<canonical>,exact_normalized,""indivior"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
79,Medline Industries,28,31,"collaborator,lead",medline industries,exact_normalized,,"<canonical>,exact_normalized,""medline industries"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
80,Mylan Inc.,28,31,"collaborator,lead",mylan,exact_normalized,,"<canonical>,exact_normalized,""mylan"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
81,Bavarian Nordic,27,33,"collaborator,lead",bavarian nordic,exact_normalized,,"<canonical>,exact_normalized,""bavarian nordic"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
82,"Spectrum Pharmaceuticals, Inc",27,41,"collaborator,lead",spectrum pharmaceuticals,exact_normalized,,"<canonical>,exact_normalized,""spectrum pharmaceuticals"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
83,"Biotronik, Inc.",26,30,"collaborator,lead",biotronik,exact_normalized,,"<canonical>,exact_normalized,""biotronik"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
84,"Centocor, Inc.",26,50,"collaborator,lead",centocor,exact_normalized,,"<canonical>,exact_normalized,""centocor"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
85,R-Pharm,26,29,"collaborator,lead",r-pharm,exact_normalized,,"<canonical>,exact_normalized,""r-pharm"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
86,Acorda Therapeutics,25,34,"collaborator,lead",acorda therapeutics,exact_normalized,,"<canonical>,exact_normalized,""acorda therapeutics"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
87,Dentsply Sirona Implants and Consumables,25,31,"collaborator,lead",dentsply sirona implants and consumables,exact_normalized,,"<canonical>,exact_normalized,""dentsply sirona implants and consumables"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
88,Healthpoint,25,27,"collaborator,lead",healthpoint,exact_normalized,,"<canonical>,exact_normalized,""healthpoint"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
89,Menarini Group,25,28,"collaborator,lead",menarini group,exact_normalized,,"<canonical>,exact_normalized,""menarini group"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
90,Padagis LLC,25,25,lead,padagis,exact_normalized,,"<canonical>,exact_normalized,""padagis"",attribute,no,""<initials> <date>: <why>""",3e13bc5926f6f8bc5025151c60ea7dc8f40a5f7b8d7a209026ba29472e70601c,2026-08-30T11:50:37.583869+00:00
