level,label,bucket,reason,n_occurrences,n_trials,example_nct,first_seen,weeks_open,parser_rules_version
class,adolescents,,unrecognized,2,2,NCT02693665,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,0,,unrecognized,1,1,NCT00865566,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,0 Criteria,,unrecognized,1,1,NCT03313310,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,0-1,,unrecognized,1,1,NCT03741725,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,0-1 partners,,unrecognized,1,1,NCT01617096,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,0-24h,,unrecognized,1,1,NCT00551616,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,1,,unrecognized,1,1,NCT00223080,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,1 Criterion,,unrecognized,1,1,NCT03313310,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,1 partner,,unrecognized,1,1,NCT02498067,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,1-<6 years,,unrecognized,1,1,NCT03376516,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,11-14 year olds,,unrecognized,1,1,NCT04587167,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,12 month Survey Participants,,unrecognized,1,1,NCT05416372,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,1200 mg/d HCQ,,unrecognized,1,1,NCT01550367,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,14 or Less (Years),,unrecognized,1,1,NCT01192282,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,149,,unrecognized,1,1,NCT06358820,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,15 - 19 (Years),,unrecognized,1,1,NCT01192282,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,15-17 year olds,,unrecognized,1,1,NCT04587167,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,16-Week Dose-finding Safety Part,,unrecognized,1,1,NCT02587325,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,2 Criteria,,unrecognized,1,1,NCT03313310,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,2 or 3 times a month,,unrecognized,1,1,NCT00635570,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,2 or 3 times a week,,unrecognized,1,1,NCT00635570,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,2 partners,,unrecognized,1,1,NCT02498067,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,2. Child Gender:,,unrecognized,1,1,NCT03753542,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,20 and Above (Years),,unrecognized,1,1,NCT01192282,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,21 - 50 years,,unrecognized,1,1,NCT04911296,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,25-48h,,unrecognized,1,1,NCT00551616,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,3,,unrecognized,1,1,NCT01234103,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,3 Criteria,,unrecognized,1,1,NCT03313310,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,3 partners,,unrecognized,1,1,NCT02498067,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,3-4,,unrecognized,1,1,NCT00865566,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,4 partners,,unrecognized,1,1,NCT02498067,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,4+ Criteria,,unrecognized,1,1,NCT03313310,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,49-72h,,unrecognized,1,1,NCT00551616,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,5 or more,,unrecognized,1,1,NCT00865566,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
category,5+ partners,,unrecognized,1,1,NCT02498067,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,51 - 65 years,,unrecognized,1,1,NCT04911296,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,6-<12 years,,unrecognized,1,1,NCT03376516,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,600 mg/d HCQ,,unrecognized,1,1,NCT01550367,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,603A: 0-12 Week Study Period,,unrecognized,1,1,NCT03514641,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,603B: 12-36 Week Study Period,,unrecognized,1,1,NCT03514641,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,66 - 75 years,,unrecognized,1,1,NCT04911296,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,73-96h,,unrecognized,1,1,NCT00551616,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,97-120h,,unrecognized,1,1,NCT00551616,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,> 1,,unrecognized,1,1,NCT00223080,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,>120h,,unrecognized,1,1,NCT00551616,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,>2,,unrecognized,1,1,NCT01617096,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,>= 65 years,,unrecognized,1,1,NCT00985010,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,ABI mild risk,,unrecognized,1,1,NCT03161327,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,ABI moderate risk,,unrecognized,1,1,NCT03161327,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,ABI severe risk,,unrecognized,1,1,NCT03161327,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,ADHD,,unrecognized,1,1,NCT01943539,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
class,AIN457 in Treatment Period 1 - JIA Category: ERA,,unrecognized,1,1,NCT03031782,2026-09-14,0,parsers.R@2026-08-17 / outcomes@2026-09-10
