level,label,bucket,reason,n_occurrences,n_trials,example_nct,parser_rules_version
class,Trans or Gender non confirming,gender_diverse,mapped,1,1,NCT05254379,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans or NonBinary,gender_diverse,mapped,1,1,NCT03707158,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans or non-binary,gender_diverse,mapped,1,1,NCT02707692,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans person,gender_diverse,mapped,1,1,NCT03210701,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans woman,ambiguous,mapped,1,1,NCT03242954,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans woman,ambiguous,mapped,1,1,NCT05187442,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans-female,ambiguous,mapped,1,1,NCT04307394,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Trans-male,ambiguous,mapped,1,1,NCT04307394,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans/FTM,gender_diverse,mapped,1,1,NCT02427399,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans/Other gender identity,gender_diverse,mapped,1,1,NCT03654690,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Trans/nonbinary,gender_diverse,mapped,1,1,NCT03867734,parsers.R@2026-08-17 / outcomes@2026-09-10
category,TransMale,male,mapped,2,1,NCT04446910,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transactional Sex Work Involvement,,unrecognized,1,1,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transexual,,unrecognized,1,1,NCT04233372,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transexual or Non-Conforming Transgender or nonconforming,gender_diverse,mapped,1,1,NCT03166709,parsers.R@2026-08-17 / outcomes@2026-09-10
category,Transfemale,male,mapped,1,1,NCT01781806,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transfemale or Transwoman,gender_diverse,mapped,1,1,NCT03313310,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transfemale/trans woman,ambiguous,mapped,1,1,NCT05906784,parsers.R@2026-08-17 / outcomes@2026-09-10
class,Transformista,,unrecognized,1,1,NCT06316102,parsers.R@2026-08-17 / outcomes@2026-09-10
